t,vx,vy,vw,encoder1,encoder2,encoder3,encoder4,gyroX,gyroY,gyroZ,accX,accY,accZ
0.01,0,0,0,0.205813972,-0.050635536,0.00932834,0.190369806,0.061231698,0.35922594,-0.308332282,0.029309695,0.01622147,9.836141907
0.01,0,0,0,0.21127626,-0.053097991,0.008390505,0.194188441,0.067167896,0.321640936,-0.15880171,0.0227157,0.036018153,9.841632518
0.01,0,0,0,0.215441756,-0.057292007,0.008827371,0.198090776,0.060324883,0.262720478,-0.131403002,0.028086794,0.018027377,9.83260932
0.01,0,0,0,0.218918955,-0.059514369,0.005781149,0.202416035,-0.002049765,0.419638734,-0.230667152,0.013097918,0.022421129,9.834244509
0.01,0,0,0,0.225587653,-0.061861753,0.007519027,0.207083616,0.017928959,0.358299368,-0.486168096,0.040976044,0.038110063,9.827913582
0.01,0,0,0,0.232528218,-0.062199366,0.007612888,0.211365507,0.138492731,0.48665333,-0.305449486,0.022962632,0.024316241,9.848004058
0.01,0,0,0,0.23642815,-0.064031292,0.006345475,0.215229691,0.031236087,0.273596101,-0.340963553,0.037089309,0.027473252,9.847964683
0.01,0,0,0,0.238964368,-0.067338164,0.0048525,0.22102487,-0.090172536,0.251713704,-0.287967433,0.042214587,0.041565316,9.823679098
0.01,0,0,0,0.24448444,-0.066983001,0.005408338,0.227437787,-0.014596802,0.314865904,-0.362485177,0.031035928,0.018684883,9.820189033
0.01,0,0,0,0.250617785,-0.06611774,0.002248762,0.23262064,0.05217112,0.208339405,-0.341254944,0.010865944,0.031830666,9.84924992
0.01,0,0,0,0.255073387,-0.067484881,0.002122553,0.236439985,0.153909475,0.270992467,-0.331343286,0.035396785,0.015729939,9.834581017
0.01,0,0,0,0.26140477,-0.072179737,0.003934329,0.2395285,0.028899561,0.250455842,-0.209425554,0.03490127,0.028778889,9.846425896
0.01,0,0,0,0.262916832,-0.073263267,0.002205079,0.242435477,-0.077078207,0.246884521,-0.286515741,0.053374551,0.027369721,9.838951912
0.01,0,0,0,0.268235399,-0.073511624,0.002375004,0.247146463,0.101384361,0.339209234,-0.325744876,0.037799804,0.009518271,9.837371272
0.01,0,0,0,0.271929428,-0.076189258,0.002349375,0.252705955,0.102578219,0.259115973,-0.333219395,0.013743944,0.021216758,9.82560319
0.01,0,0,0,0.276447604,-0.076677706,0.001957876,0.252414535,-0.028251371,0.322542255,-0.273728272,0.038695103,0.032206105,9.834805805
0.01,0,0,0,0.280611464,-0.078093128,0.000813503,0.256137691,0.064298413,0.199500243,-0.341578794,0.017757691,0.031988863,9.82755753
0.01,0,0,0,0.285278685,-0.081530105,0.001132557,0.259580064,0.110320112,0.288684042,-0.271941432,0.015838423,0.014783248,9.843052416
0.01,0,0,0,0.290413972,-0.082180631,0.00309078,0.261443447,0.026473712,0.271657349,-0.386108493,0.040026592,0.023995586,9.834758625
0.01,0,0,0,0.295492553,-0.080953309,0.00317004,0.265414688,0.021714222,0.266151364,-0.272046241,0.026388994,0.02664093,9.841662879
0.01,0,0,0,0.299029252,-0.081711811,0.004476337,0.271291796,-0.022103692,0.212661951,-0.321622214,0.032358164,0.041491647,9.847345314
